Profile: Function timing, sorted by time
Date:    Wed Jan 26 00:11:30 2005


Program Statistics
------------------
    Command line at 2005 Jan 26 00:10: "D:\Games\QUAKE\qmb-V1" 
    Total time: 23034.221 millisecond
    Time outside of functions: 255.550 millisecond
    Call depth: 89
    Total functions: 1576
    Total hits: 30876687
    Function coverage: 42.0%
    Overhead Calculated 1224
    Overhead Average 1224

Module Statistics for qmb-v1.exe
--------------------------------
    Time in module: 22778.671 millisecond
    Percent of time in module: 100.0%
    Functions in module: 1576
    Hits in module: 30876687
    Module function coverage: 42.0%

        Func          Func+Child           Hit
        Time   %         Time      %      Count  Function
---------------------------------------------------------
       6.483   0.0        6.483   0.0     6482 _V_SetContentsColor (view.obj)
       6.328   0.0        6.328   0.0    67097 _R_TextureAnimation (gl_rsurf.obj)
       6.276   0.0        6.276   0.0     1863 _StripLength (gl_mesh.obj)
       6.259   0.0        6.259   0.0     5274 _CalcSurfaceExtents (gl_model.obj)
       6.238   0.0        6.238   0.0    23157 _R_DrawSkyChain (gl_warp.obj)
       6.109   0.0       21.300   0.1     6482 _S_UpdateAmbientSounds (snd_dma.obj)
       6.042   0.0       78.179   0.3     6482 _Sbar_DrawInventory (sbar.obj)
       6.010   0.0        6.010   0.0     1863 _FanLength (gl_mesh.obj)
       5.946   0.0       14.646   0.1     5144 _BuildSurfaceDisplayList (gl_rsurf.obj)
       5.925   0.0     1487.087   6.5       28 _Mod_LoadQ3Model (gl_md3.obj)
       5.872   0.0        5.872   0.0    94417 _Q_strcmp (common.obj)
       5.748   0.0       22.409   0.1     6481 _CL_SendMove (cl_input.obj)
       5.729   0.0        5.729   0.0   120616 _ShortNoSwap (common.obj)
       5.694   0.0       29.083   0.1    38931 _Mod_Extradata (gl_model.obj)
       5.598   0.0       49.714   0.2      550 _COM_FindFile (common.obj)
       5.495   0.0        5.495   0.0     6482 _CL_UpdateTEnts (cl_tent.obj)
       5.462   0.0        5.462   0.0    48349 _Loop_Listen (jmemnobs.obj)
       5.462   0.0        5.462   0.0    48349 _Loop_Shutdown (jmemnobs.obj)
       5.462   0.0        5.462   0.0    48349 _M_Search_Key (jmemnobs.obj)
       5.462   0.0        5.462   0.0    48349 _MaskExceptions (jmemnobs.obj)
       5.462   0.0        5.462   0.0    48349 _SCR_DrawRam (jmemnobs.obj)
       5.462   0.0        5.462   0.0    48349 _S_BeginPrecaching (jmemnobs.obj)
       5.462   0.0        5.462   0.0    48349 _S_EndPrecaching (jmemnobs.obj)
       5.462   0.0        5.462   0.0    48349 _Sys_PopFPCW (jmemnobs.obj)
       5.462   0.0        5.462   0.0    48349 _Sys_PushFPCW_SetHigh (jmemnobs.obj)
       5.462   0.0        5.462   0.0    48349 _Sys_SetFPCW (jmemnobs.obj)
       5.462   0.0        5.462   0.0    48349 _VID_ShiftPalette (jmemnobs.obj)
       5.462   0.0        5.462   0.0    48349 _jpeg_mem_term (jmemnobs.obj)
       5.306   0.0       10.305   0.0     6481 _CL_AdjustAngles (cl_input.obj)
       5.140   0.0        7.290   0.0     6482 _CalcGunAngle (view.obj)
       4.934   0.0        4.934   0.0     6482 _CL_DecayLights (cl_main.obj)
       4.644   0.0        4.644   0.0      221 _fReadData (gl_png.obj)
       4.575   0.0      518.357   2.3    12964 _GetSoundtime (snd_dma.obj)
       4.549   0.0       17.544   0.1     6481 _CL_BaseMove (cl_input.obj)
       4.516   0.0        4.516   0.0    64810 _CL_KeyState (cl_input.obj)
       4.500   0.0       62.363   0.3     6482 _CL_SendCmd (cl_main.obj)
       4.500   0.0        4.599   0.0     6482 _R_MarkLeaves (gl_rsurf.obj)
       4.429   0.0        4.535   0.0     7363 _CL_GetMessage (cl_demo.obj)
       4.420   0.0        7.965   0.0     6535 _MainWndProc@16 (gl_vidnt.obj)
       4.230   0.0       22.587   0.1     6482 _Sbar_DrawFace (sbar.obj)
       4.098   0.0     3160.047  13.9     6482 _CL_ReadFromServer (cl_main.obj)
       4.009   0.0        4.009   0.0    25927 _anglemod (mathlib.obj)
       3.967   0.0        9.349   0.0    12270 _AddTrailColor (gl_rpart.obj)
       3.967   0.0      104.969   0.5     6482 _R_PushDlights (gl_rlight.obj)
       3.881   0.0        3.881   0.0    64849 _SZ_GetSpace (common.obj)
       3.839   0.0       42.953   0.2     6482 _R_SetupFrame (gl_rmain.obj)
       3.795   0.0       10.915   0.0     6482 _NET_Poll (net_main.obj)
       3.784   0.0       13.569   0.1     5917 _Hunk_AllocName (zone.obj)
       3.682   0.0        3.682   0.0    23157 _Surf_EnableFullbright (gl_renderworld.obj)
       3.662   0.0      203.966   0.9    33488 _Sbar_DrawTransPic (sbar.obj)
       3.490   0.0        6.439   0.0    38891 _MSG_WriteByte (common.obj)
       3.490   0.0        6.439   0.0    38891 _MSG_WriteChar (common.obj)
       3.318   0.0        3.318   0.0    19446 _Sbar_itoa (sbar.obj)
       3.263   0.0        3.263   0.0     6484 _IN_MouseEvent (in_win.obj)
       3.162   0.0     2971.501  13.0      881 _CL_ParseServerMessage (cl_parse.obj)
       3.156   0.0        3.399   0.0       18 _LoadTGA (gl_tga.obj)
       3.156   0.0        3.156   0.0    75124 _LongNoSwap (common.obj)
       3.135   0.0        4.114   0.0       87 _Sys_FileOpenRead (sys_win.obj)
       3.128   0.0        3.128   0.0       21 _Mod_FloodFillSkin (gl_model.obj)
       3.098   0.0        6.066   0.0     6482 _R_SetFrustum (gl_rmain.obj)
       3.032   0.0        3.032   0.0     7617 _Host_FilterTime (host.obj)
       3.030   0.0       19.091   0.1        1 _Mod_LoadFaces (gl_model.obj)
       2.995   0.0     2011.736   8.8       98 _GL_LoadTexImage (gl_draw.obj)
       2.968   0.0        2.968   0.0    25928 _SignbitsForPlane (gl_rmain.obj)
       2.893   0.0        2.893   0.0     1037 _Z_CheckHeap (zone.obj)
       2.818   0.0        2.839   0.0     6509 _Con_CheckResize (console.obj)
       2.801   0.0        2.801   0.0     6482 _V_BoundOffsets (view.obj)
       2.798   0.0        2.798   0.0     6508 _M_Draw (menu.obj)
       2.796   0.0      116.636   0.5    12970 _S_TransferPaintBuffer (snd_mix.obj)
       2.744   0.0        3.644   0.0      588 _AddParticleColor (gl_rpart.obj)
       2.736   0.0        3.228   0.0    12964 _CaptureHelper_GetSoundtime (capturehelpers.obj)
       2.714   0.0       10.365   0.0    11684 _AddTrail (gl_rpart.obj)
       2.701   0.0        2.701   0.0     6482 _Sys_ConsoleInput (sys_win.obj)
       2.636   0.0        2.636   0.0     6482 _V_AddIdle (view.obj)
       2.623   0.0        2.623   0.0    67973 _MSG_ReadByte (common.obj)
       2.535   0.0        5.451   0.0     6508 _SCR_SetUpToDrawConsole (gl_screen.obj)
       2.532   0.0        4.409   0.0    29892 _Q_strcasecmp (common.obj)
       2.440   0.0       60.569   0.3    13467 _sep_upsample (jdsample.obj)
       2.360   0.0        2.360   0.0     6508 _SCR_DrawNet (gl_screen.obj)
       2.340   0.0        6.053   0.0      546 _Cvar_FindVar (cvar.obj)
       2.309   0.0        5.764   0.0     6481 _MSG_WriteFloat (common.obj)
       2.299   0.0        2.299   0.0     6508 _SCR_DrawTurtle (gl_screen.obj)
       2.277   0.0     1147.814   5.0       21 _Mod_LoadAliasModel (gl_model.obj)
       2.264   0.0        2.264   0.0     7067 _V_CalcBlend (view.obj)
       2.258   0.0        2.788   0.0    13061 _CaptureHelper_OnTransferStereo16 (capturehelpers.obj)
       2.253   0.0        2.253   0.0     6482 _V_CalcBob (view.obj)
       2.187   0.0        2.187   0.0     6508 _SCR_TileClear (gl_screen.obj)
       2.163   0.0        2.262   0.0      172 _Hunk_HighAllocName (zone.obj)
       2.097   0.0       15.633   0.1    12517 _R_RocketTrail (gl_rpart.obj)
       2.077   0.0      102.983   0.5        2 _LoadPNG (gl_png.obj)
       2.034   0.0        2.709   0.0     6515 _SZ_Write (common.obj)
       2.013   0.0        2.013   0.0     6482 _R_RenderDlights (gl_rlight.obj)
       2.002   0.0      355.713   1.6     6483 _Cbuf_Execute (cmd.obj)
       1.996   0.0        7.146   0.0     6484 _SetNetTime (net_main.obj)
       1.943   0.0        1.943   0.0     6482 _CDAudio_Update (cd_win.obj)
       1.913   0.0        1.913   0.0    39015 _CaptureHelper_IsActive (capturehelpers.obj)
       1.910   0.0        2.607   0.0    19443 _MSG_WriteShort (common.obj)
       1.884   0.0        1.884   0.0    21613 _CL_EntityNum (cl_parse.obj)
       1.878   0.0        1.878   0.0    29893 _Q_strncasecmp (common.obj)
       1.853   0.0        3.934   0.0    19443 _MSG_WriteAngle (common.obj)
       1.842   0.0        1.842   0.0    31837 _MSG_ReadShort (common.obj)
       1.801   0.0        1.830   0.0      469 _Cache_TryAlloc (zone.obj)
       1.749   0.0        1.749   0.0     6508 _V_CalcPowerupCshift (view.obj)
       1.683   0.0        6.525   0.0     6482 _V_CalcViewRoll (view.obj)
       1.675   0.0        3.314   0.0    26902 _MSG_ReadCoord (common.obj)
       1.663   0.0        1.663   0.0        1 _LoadPCX (gl_pcx.obj)
       1.620   0.0        1.677   0.0     6508 _V_CheckGamma (view.obj)
       1.569   0.0        1.569   0.0        1 _CreateDSTTex (gl_warp.obj)
       1.548   0.0        1.891   0.0     6508 _CaptureHelper_OnUpdateScreen (capturehelpers.obj)
       1.507   0.0       57.825   0.3    19446 _Sbar_DrawPic (sbar.obj)
       1.495   0.0        4.148   0.0     6508 _SCR_CheckDrawCenterString (gl_screen.obj)
       1.482   0.0        1.482   0.0    37770 _FloatNoSwap (common.obj)
       1.473   0.0       16.920   0.1     6481 _IN_Move (in_win.obj)
       1.467   0.0       44.428   0.2      188 _GL_Upload8 (gl_draw.obj)
       1.424   0.0        1.424   0.0        1 _S_Shutdown (snd_dma.obj)
