Profile: Function timing, sorted by time
Date:    Mon May 17 15:57:30 2004


Program Statistics
------------------
    Command line at 2004 May 17 15:54: "D:\Games\QUAKE\qmb-V1" 
    Total time: 97571.555 millisecond
    Time outside of functions: 547.600 millisecond
    Call depth: 89
    Total functions: 1625
    Total hits: 6328576
    Function coverage: 34.8%
    Overhead Calculated 8
    Overhead Average 8

Module Statistics for qmb-v1.exe
--------------------------------
    Time in module: 97023.955 millisecond
    Percent of time in module: 100.0%
    Functions in module: 1625
    Hits in module: 6328576
    Module function coverage: 34.8%

        Func          Func+Child           Hit
        Time   %         Time      %      Count  Function
---------------------------------------------------------
      18.177   0.0       55.551   0.1       22 _BuildTris (gl_mesh.obj)
      17.624   0.0      561.997   0.6     5009 _S_TransferPaintBuffer (snd_mix.obj)
      17.273   0.0       35.622   0.0        2 _Mod_LoadVertexes (gl_model.obj)
      16.630   0.0       23.273   0.0        1 _WINS_Init (net_wins.obj)
      16.427   0.0     3756.839   3.9    17303 _TraceLineN (gl_rpart.obj)
      15.832   0.0       15.832   0.0     1028 _Z_CheckHeap (zone.obj)
      15.562   0.0     1450.899   1.5     1182 _S_ExtraUpdate (snd_dma.obj)
      14.606   0.0       32.715   0.0     7252 _Mod_Extradata (gl_model.obj)
      14.536   0.0    53910.192  55.6     1182 _CL_ReadFromServer (cl_main.obj)
      14.530   0.0       14.699   0.0      190 _Hunk_HighAllocName (zone.obj)
      14.523   0.0       14.523   0.0     3649 _R_RotateForEntity (gl_rmain.obj)
      13.438   0.0      836.825   0.9     1225 _Sbar_Draw (sbar.obj)
      13.277   0.0       13.277   0.0      281 _GL_FindTexture (gl_draw.obj)
      13.146   0.0       13.250   0.0      537 _FindNextChunk (snd_mem.obj)
      12.385   0.0       12.385   0.0     9895 _CaptureHelper_IsActive (capturehelpers.obj)
      11.576   0.0     1671.802   1.7     4250 _R_DrawWaterChain (gl_warp.obj)
      11.400   0.0       11.175   0.0      559 _Cache_TryAlloc (zone.obj)
      11.046   0.0       20.781   0.0      143 _Cmd_AddCommand (cmd.obj)
      10.745   0.0      198.122   0.2     6091 _Sbar_DrawTransPic (sbar.obj)
      10.601   0.0       10.601   0.0     2235 _FanLength (gl_mesh.obj)
      10.495   0.0       12.730   0.0     1182 _CalcGunAngle (view.obj)
      10.487   0.0       34.301   0.0        1 _CDAudio_Init (cd_win.obj)
      10.114   0.0       10.114   0.0    12808 _Q_strncpy (common.obj)
       9.747   0.0    86675.357  89.3     1406 __Host_Frame (host.obj)
       9.642   0.0        9.642   0.0     1182 _V_SetContentsColor (view.obj)
       9.475   0.0        7.987   0.0     3540 _MSG_WriteShort (common.obj)
       9.367   0.0       14.048   0.0     2363 _CaptureHelper_GetSoundtime (capturehelpers.obj)
       9.347   0.0        9.347   0.0      378 _Hunk_FreeToHighMark (zone.obj)
       9.270   0.0      504.923   0.5     3068 _R_DrawBrush (gl_rsurf.obj)
       9.110   0.0        9.110   0.0     1182 _R_AnimateLight (gl_rlight.obj)
       8.694   0.0    13450.559  13.9     1182 _R_DrawWorld (gl_rsurf.obj)
       8.635   0.0        8.635   0.0     2232 _AddFire (gl_rpart.obj)
       8.519   0.0        8.080   0.0     1180 _IN_MouseMove (in_win.obj)
       8.377   0.0        8.377   0.0     1182 _DoGamma (gl_rmain.obj)
       7.894   0.0        7.894   0.0       22 _Mod_FloodFillSkin (gl_model.obj)
       7.776   0.0       43.291   0.0        1 _MakeParticleTexure (gl_rpart.obj)
       7.211   0.0        7.211   0.0     4784 _Mod_SetParent (gl_model.obj)
       7.057   0.0        7.075   0.0     1226 _Con_CheckResize (console.obj)
       6.875   0.0        6.875   0.0       58 _InitializeDemData (gl_png.obj)
       6.832   0.0        4.585   0.0     1180 _CL_BaseMove (cl_input.obj)
       6.831   0.0        3.545   0.0      727 _MSG_ReadString (common.obj)
       6.621   0.0       68.599   0.1     1181 _S_UpdateAmbientSounds (snd_dma.obj)
       6.416   0.0        9.097   0.0     5125 _CaptureHelper_OnTransferStereo16 (capturehelpers.obj)
       6.416   0.0        6.416   0.0        1 _WINS_OpenSocket (net_wins.obj)
       6.373   0.0    26746.206  27.6        2 _Mod_LoadTextures (gl_model.obj)
       6.169   0.0      544.889   0.6        1 _GL_SkinSplitShirt (gl_model.obj)
       5.878   0.0        5.878   0.0      481 _Con_DPrintf (console.obj)
       5.760   0.0        5.760   0.0     1181 _CL_UpdateTEnts (cl_tent.obj)
       5.734   0.0        7.708   0.0      210 _Cmd_Exists (cmd.obj)
       5.658   0.0        5.658   0.0    12707 _R_TextureAnimation (gl_rsurf.obj)
       5.631   0.0        5.631   0.0     1182 _V_DriftPitch (view.obj)
       5.499   0.0        5.499   0.0     1182 _V_BoundOffsets (view.obj)
       5.238   0.0        5.238   0.0       29 _Hunk_FreeToLowMark (zone.obj)
       5.169   0.0        5.169   0.0     1181 _CL_LerpPoint (cl_main.obj)
       5.158   0.0       45.899   0.0      112 _CL_ParseTEnt (cl_tent.obj)
       5.149   0.0        5.169   0.0      115 _R_DrawSpriteModel (gl_sprite.obj)
       5.089   0.0     9130.388   9.4      277 _COM_LoadFile (common.obj)
       5.034   0.0        5.522   0.0      210 _Cvar_RegisterVariable (cvar.obj)
       4.913   0.0        4.913   0.0     1182 _R_RenderDlights (gl_rlight.obj)
       4.895   0.0     1051.245   1.1     3191 _R_SetupAliasBlendedFrame (gl_mesh.obj)
       4.833   0.0        4.833   0.0     4725 _anglemod (mathlib.obj)
       4.733   0.0       42.201   0.0      198 _AddParticle (gl_rpart.obj)
       4.303   0.0        4.303   0.0     1224 _SCR_DrawTurtle (gl_screen.obj)
       4.283   0.0       46.986   0.0     1652 _R_RocketTrail (gl_rpart.obj)
       4.267   0.0        4.267   0.0        1 _CreateDSTTex (gl_warp.obj)
       4.237   0.0        4.237   0.0        1 _S_Shutdown (snd_dma.obj)
       4.111   0.0        3.638   0.0     1497 _AddTrail (gl_rpart.obj)
       4.099   0.0        4.099   0.0      245 _filelength (sys_win.obj)
       3.809   0.0        3.809   0.0     3816 _Sys_PopFPCW (sys_win.obj)
       3.784   0.0        3.736   0.0     1182 _R_MarkLeaves (gl_rsurf.obj)
       3.719   0.0       37.598   0.0      601 _CL_ParseStartSoundPacket (cl_parse.obj)
       3.626   0.0       42.229   0.0        4 _COM_LoadPackFile (common.obj)
       3.353   0.0        3.895   0.0        1 _GL_Init (gl_vidnt.obj)
       3.330   0.0     4631.953   4.8      152 _GL_Upload8 (gl_draw.obj)
       3.048   0.0        3.048   0.0     9967 _R_StoreEfrags (gl_refrag.obj)
